iter	RMSE
0	0.1006284206
1	0.0964533898
2	0.09256469152
3	0.08898139995
4	0.08560346061
5	0.08226394918
6	0.07927334643
7	0.07641166137
8	0.07367678184
9	0.07108851788
10	0.06857652558
11	0.0663133743
12	0.06429534389
13	0.06238838653
14	0.06044994089
15	0.05874415123
16	0.05708225659
17	0.05541984109
18	0.05396659437
19	0.05268201023
20	0.05134120992
21	0.0500663781
22	0.04895133658
23	0.04783097094
24	0.04682730986
25	0.04581423854
26	0.04505673529
27	0.04429058043
28	0.04355853837
29	0.04281884762
30	0.04218183609
31	0.04155171121
32	0.04095099578
33	0.04042694917
34	0.03992413429
35	0.03945317049
36	0.03899277739
37	0.03860116611
38	0.0381963197
39	0.03785169188
40	0.03749726263
41	0.03715413657
42	0.03683998197
43	0.03653756577
44	0.036321279
45	0.03605952683
46	0.03581720239
47	0.03561389929
48	0.0354211037
49	0.03523896278
50	0.03507392875
51	0.03487278525
52	0.03473140136
53	0.03458655132
54	0.03446470781
55	0.03433858934
56	0.03421313591
57	0.03409487653
58	0.03399978771
59	0.03386578953
60	0.0337763175
61	0.03369746315
62	0.03360512009
63	0.03353310941
64	0.03345689127
65	0.03335954406
66	0.03329622136
67	0.03324815286
68	0.03318280667
69	0.03311761813
70	0.03303488532
71	0.0329777696
72	0.03292489404
73	0.03287865085
74	0.03282457706
75	0.03277366232
76	0.03272806439
77	0.03267294688
78	0.03261606056
79	0.03257243359
80	0.03253622867
81	0.03248463032
82	0.03245024853
83	0.03243017576
84	0.03240177787
85	0.0323580046
86	0.03232802112
87	0.03229708756
88	0.03226552928
89	0.03221703834
90	0.03218683162
91	0.03215714835
92	0.03211937739
93	0.03209245276
94	0.03205269105
95	0.0320254914
96	0.03197721082
97	0.03194325377
98	0.03192282018
99	0.03189421765
100	0.03187480071
101	0.03185577411
102	0.03183306045
103	0.03180687227
104	0.0317861193
105	0.03175137245
106	0.03173882747
107	0.03173219215
108	0.03170506336
109	0.03166317425
110	0.0316397165
111	0.03161549903
112	0.03158369298
113	0.03154882746
114	0.03152386266
115	0.03150810583
116	0.0314876635
117	0.0314717941
118	0.03145827464
119	0.03143688018
120	0.0314160333
121	0.03138908285
122	0.03136522694
123	0.03134587333
124	0.03133130938
125	0.03132010712
126	0.03130745231
